Sector,Entidad,Tipo de gasto,Régimen,Tipologia especifica,Contratos,Valor total reportaddo
Salud,Subred Integrada de Servicios de Salud Sur E.S.E.,Funcionamiento,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),928,$ 20586325529
Salud,Subred Integrada de Servicios de Salud Sur Occidente E.S.E.,Funcionamiento,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),729,$ 15983271480
Educación,"Universidad Distrital ""Francisco José de Caldas""",Funcionamiento,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),543,$ 19465078225
Cultura Recreación y Deporte,Canal Capital,Inversión,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),6,$ 366246000
Hábitat,Empresa de Acueducto y Alcantarillado de Bogotá E.S.P. - EAAB,Inversión,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),116,$ 8625855549
Localidades,Fondo de Desarrollo Local Los Mártires,Inversión,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),2,$ 29160000
Educación,"Universidad Distrital ""Francisco José de Caldas""",Inversión,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),33,$ 1042281649
Educación,"Universidad Distrital ""Francisco José de Caldas""",Otro,Privado,Servicios Apoyo a la Gestion de la Entidad (servicios administrativos),42,$ 1011003332
Salud,Subred Integrada de Servicios de Salud Centro Oriente E.S.E.,Funcionamiento,Privado,Servicios Asistenciales de Salud,4045,$ 185405924012
Salud,Subred Integrada de Servicios de Salud Norte E.S.E.,Funcionamiento,Privado,Servicios Asistenciales de Salud,4284,$ 118080187356
Salud,Subred Integrada de Servicios de Salud Sur E.S.E.,Funcionamiento,Privado,Servicios Asistenciales de Salud,3812,$ 133806562310
Salud,Subred Integrada de Servicios de Salud Sur Occidente E.S.E.,Funcionamiento,Privado,Servicios Asistenciales de Salud,4161,$ 153309764896
Educación,"Universidad Distrital ""Francisco José de Caldas""",Funcionamiento,Privado,Servicios Asistenciales de Salud,3,$ 93996570
Cultura Recreación y Deporte,Canal Capital,Funcionamiento,Privado,Servicios Profesionales,139,$ 6124784350
Hábitat,Empresa de Acueducto y Alcantarillado de Bogotá E.S.P. - EAAB,Funcionamiento,Privado,Servicios Profesionales,9,$ 1902588080
Hábitat,Empresa de Renovación y Desarrollo Urbano de Bogotá D.C.,Funcionamiento,Privado,Servicios Profesionales,77,$ 5350082551
Hacienda,Lotería De Bogotá,Funcionamiento,Privado,Servicios Profesionales,36,$ 1752518027
Movilidad,Operadora Distrital de Transporte - ODT,Funcionamiento,Privado,Servicios Profesionales,18,$ 547772469
Educación,"Universidad Distrital ""Francisco José de Caldas""",Funcionamiento,Privado,Servicios Profesionales,526,$ 29966043530
Cultura Recreación y Deporte,Canal Capital,Inversión,Privado,Servicios Profesionales,95,$ 4831537000
Hábitat,Empresa de Acueducto y Alcantarillado de Bogotá E.S.P. - EAAB,Inversión,Privado,Servicios Profesionales,1,$ 72573800
Hábitat,Empresa de Renovación y Desarrollo Urbano de Bogotá D.C.,Inversión,Privado,Servicios Profesionales,35,$ 2816315779
Localidades,Fondo de Desarrollo Local Los Mártires,Inversión,Privado,Servicios Profesionales,6,$ 196711467
Educación,"Universidad Distrital ""Francisco José de Caldas""",Inversión,Privado,Servicios Profesionales,92,$ 4894541379
Hábitat,Empresa de Renovación y Desarrollo Urbano de Bogotá D.C.,Otro,Privado,Servicios Profesionales,205,$ 19814863323
Educación,"Universidad Distrital ""Francisco José de Caldas""",Otro,Privado,Servicios Profesionales,515,$ 14216879501
